name,type,district,province
Rong,Rural Municipality,Ilam,Koshi Pradesh
Roshi,Rural Municipality,Kavrepalanchok,Bagmati Pradesh
Rubi Valley,Rural Municipality,Dhading,Bagmati Pradesh
Runtigadi,Rural Municipality,Rolpa,Lumbini Pradesh
Rupa,Rural Municipality,Kaski,Gandaki Pradesh
Rupani,Rural Municipality,Saptari,Madhesh Pradesh
Ruru,Rural Municipality,Gulmi,Lumbini Pradesh
Sabaila,Municipality,Dhanusha,Madhesh Pradesh
Sabhapokhari,Rural Municipality,Sankhuwasabha,Koshi Pradesh
Sahid Lakhan,Rural Municipality,Gorkha,Gandaki Pradesh
Sahidnagar,Municipality,Dhanusha,Madhesh Pradesh
Sailung,Rural Municipality,Dolakha,Bagmati Pradesh
Sainamaina,Municipality,Rupandehi,Lumbini Pradesh
SaiPaal,Rural Municipality,Bajhang,Sudurpashchim Pradesh
Sakela,Rural Municipality,Khotang,Koshi Pradesh
Sakhuwa Prasauni,Rural Municipality,Parsa,Madhesh Pradesh
Sakhuwanankarkatti,Rural Municipality,Siraha,Madhesh Pradesh
Salpasilichho,Rural Municipality,Bhojpur,Koshi Pradesh
Sammarimai,Rural Municipality,Rupandehi,Lumbini Pradesh
Samsi,Rural Municipality,Mahottari,Madhesh Pradesh
Sandakpur,Rural Municipality,Ilam,Koshi Pradesh
Sandhikharka,Municipality,Arghakhanchi,Lumbini Pradesh
Sangurigadhi,Rural Municipality,Dhankuta,Koshi Pradesh
Sani Bheri,Rural Municipality,Rukum West,Karnali Pradesh
Sanni Tribeni,Rural Municipality,Kalikot,Karnali Pradesh
Sanphebagar,Municipality,Achham,Sudurpashchim Pradesh
Saptakoshi,Municipality,Saptari,Madhesh Pradesh
Sarawal,Rural Municipality,Nawalparasi West,Lumbini Pradesh
Sarkegad,Rural Municipality,Humla,Karnali Pradesh
Sarumarani,Rural Municipality,Pyuthan,Lumbini Pradesh
Satyawati,Rural Municipality,Gulmi,Lumbini Pradesh
Sayal,Rural Municipality,Doti,Sudurpashchim Pradesh
Shadananda,Municipality,Bhojpur,Koshi Pradesh
Shahidbhumi,Rural Municipality,Dhankuta,Koshi Pradesh
Shailyashikhar,Municipality,Darchula,Sudurpashchim Pradesh
Shambhunath,Municipality,Saptari,Madhesh Pradesh
Shankharapur,Municipality,Kathmandu,Bagmati Pradesh
Shantinagar,Rural Municipality,Dang,Lumbini Pradesh
Sharada,Municipality,Salyan,Karnali Pradesh
Shey Phoksundo,Rural Municipality,Dolpa,Karnali Pradesh
Shikhar,Municipality,Doti,Sudurpashchim Pradesh
Shivanath,Rural Municipality,Baitadi,Sudurpashchim Pradesh
Shivapuri,Rural Municipality,Nuwakot,Bagmati Pradesh
Shivaraj,Municipality,Kapilbastu,Lumbini Pradesh
Shivasataxi,Municipality,Jhapa,Koshi Pradesh
Shiwalaya,Rural Municipality,Jajarkot,Karnali Pradesh
Shuklagandaki,Municipality,Tanahu,Gandaki Pradesh
Shuklaphanta,Municipality,Kanchanpur,Sudurpashchim Pradesh
Siddha Kumakh,Rural Municipality,Salyan,Karnali Pradesh
Siddhalek,Rural Municipality,Dhading,Bagmati Pradesh
Siddharthanagar,Municipality,Rupandehi,Lumbini Pradesh
Siddhicharan,Municipality,Okhaldhunga,Koshi Pradesh
Sidingba,Rural Municipality,Taplejung,Koshi Pradesh
Sigas,Rural Municipality,Baitadi,Sudurpashchim Pradesh
Silichong,Rural Municipality,Sankhuwasabha,Koshi Pradesh
Simkot,Rural Municipality,Humla,Karnali Pradesh
Simraungadh,Municipality,Bara,Madhesh Pradesh
Simta,Rural Municipality,Surkhet,Karnali Pradesh
Sinja,Rural Municipality,Jumla,Karnali Pradesh
Siraha,Municipality,Siraha,Madhesh Pradesh
Siranchok,Rural Municipality,Gorkha,Gandaki Pradesh
Sirijangha,Rural Municipality,Taplejung,Koshi Pradesh
Sisne,Rural Municipality,Rukum East,Lumbini Pradesh
Sitganga,Municipality,Arghakhanchi,Lumbini Pradesh
Siyari,Rural Municipality,Rupandehi,Lumbini Pradesh
Solududhakunda,Municipality,Solukhumbu,Koshi Pradesh
Sonama,Rural Municipality,Mahottari,Madhesh Pradesh
Soru,Rural Municipality,Mugu,Karnali Pradesh
Sotang,Rural Municipality,Solukhumbu,Koshi Pradesh
Subha Kalika,Rural Municipality,Kalikot,Karnali Pradesh
Suddhodhan,Rural Municipality,Kapilbastu,Lumbini Pradesh
Sudhdhodhan,Rural Municipality,Rupandehi,Lumbini Pradesh
Sukhipur,Municipality,Siraha,Madhesh Pradesh
Sunapati,Rural Municipality,Ramechhap,Bagmati Pradesh
Sunchhahari,Rural Municipality,Rolpa,Lumbini Pradesh
Sundarbazar,Municipality,Lamjung,Gandaki Pradesh
Sundarharaicha,Municipality,Morang,Koshi Pradesh
Sunil Smriti,Rural Municipality,Rolpa,Lumbini Pradesh
Sunkoshi,Rural Municipality,Okhaldhunga,Koshi Pradesh
Sunkoshi,Rural Municipality,Sindhupalchok,Bagmati Pradesh
Sunkoshi,Rural Municipality,Sindhuli,Bagmati Pradesh
Sunwal,Municipality,Nawalparasi West,Lumbini Pradesh
Sunwarshi,Municipality,Morang,Koshi Pradesh
Surma,Rural Municipality,Bajhang,Sudurpashchim Pradesh
Surnaya,Rural Municipality,Baitadi,Sudurpashchim Pradesh
Surunga,Municipality,Saptari,Madhesh Pradesh
Suryabinayak,Municipality,Bhaktapur,Bagmati Pradesh
Suryagadhi,Rural Municipality,Nuwakot,Bagmati Pradesh
Suryodaya,Municipality,Ilam,Koshi Pradesh
Susta,Rural Municipality,Nawalparasi West,Lumbini Pradesh
Suwarna,Rural Municipality,Bara,Madhesh Pradesh
Swami Kartik Khaapar,Rural Municipality,Bajura,Sudurpashchim Pradesh
Sworgadwary,Municipality,Pyuthan,Lumbini Pradesh
Tadi,Rural Municipality,Nuwakot,Bagmati Pradesh
Talkot,Rural Municipality,Bajhang,Sudurpashchim Pradesh
Tamakoshi,Rural Municipality,Dolakha,Bagmati Pradesh
Taman Khola,Rural Municipality,Baglung,Gandaki Pradesh
Tanjakot,Rural Municipality,Humla,Karnali Pradesh
Tansen,Municipality,Palpa,Lumbini Pradesh
Tapli,Rural Municipality,Udayapur,Koshi Pradesh
Tara Khola,Rural Municipality,Baglung,Gandaki Pradesh
Tarakeshwor,Municipality,Kathmandu,Bagmati Pradesh
Tarkeshwar,Rural Municipality,Nuwakot,Bagmati Pradesh
Tatopani,Rural Municipality,Jumla,Karnali Pradesh
Temal,Rural Municipality,Kavrepalanchok,Bagmati Pradesh
Temkemaiyung,Rural Municipality,Bhojpur,Koshi Pradesh
Thaha,Municipality,Makwanpur,Bagmati Pradesh
Thakre,Rural Municipality,Dhading,Bagmati Pradesh
Thakurbaba,Municipality,Bardiya,Lumbini Pradesh
Thalara,Rural Municipality,Bajhang,Sudurpashchim Pradesh
Thantikandh,Rural Municipality,Dailekh,Karnali Pradesh
Thasang,Rural Municipality,Mustang,Gandaki Pradesh
Thawang,Rural Municipality,Rolpa,Lumbini Pradesh
Thori,Rural Municipality,Parsa,Madhesh Pradesh
Thuli Bheri,Municipality,Dolpa,Karnali Pradesh
Thulung Dudhkoshi,Rural Municipality,Solukhumbu,Koshi Pradesh
Tikapur,Municipality,Kailali,Sudurpashchim Pradesh
Tila,Rural Municipality,Jumla,Karnali Pradesh
Tilagufa,Municipality,Kalikot,Karnali Pradesh
Tilathi Koiladi,Rural Municipality,Saptari,Madhesh Pradesh
Tillotama,Municipality,Rupandehi,Lumbini Pradesh
Tinau,Rural Municipality,Palpa,Lumbini Pradesh
Tinpatan,Rural Municipality,Sindhuli,Bagmati Pradesh
Tirahut,Rural Municipality,Saptari,Madhesh Pradesh
Tokha,Municipality,Kathmandu,Bagmati Pradesh
Tribeni,Municipality,Bajura,Sudurpashchim Pradesh
Tribeni,Rural Municipality,Rolpa,Lumbini Pradesh
Tribeni,Rural Municipality,Rukum West,Karnali Pradesh
Tribeni,Rural Municipality,Salyan,Karnali Pradesh
Tripura Sundari,Rural Municipality,Dhading,Bagmati Pradesh
Tripurasundari,Municipality,Dolpa,Karnali Pradesh
Tripurasundari,Rural Municipality,Sindhupalchok,Bagmati Pradesh
Triyuga,Municipality,Udayapur,Koshi Pradesh
Tulsipur,Sub-Metropolitan City,Dang,Lumbini Pradesh
Tumbewa,Rural Municipality,Pachthar,Koshi Pradesh
Turmakhad,Rural Municipality,Achham,Sudurpashchim Pradesh
Udayapurgadhi,Rural Municipality,Udayapur,Koshi Pradesh
Umakunda,Rural Municipality,Ramechhap,Bagmati Pradesh
Uralabari,Municipality,Morang,Koshi Pradesh
Uttargaya,Rural Municipality,Rasuwa,Bagmati Pradesh
Waling,Municipality,Syangja,Gandaki Pradesh
Waragung Muktikhsetra,Rural Municipality,Mustang,Gandaki Pradesh
Yangwarak,Rural Municipality,Pachthar,Koshi Pradesh
Yashodhara,Rural Municipality,Kapilbastu,Lumbini Pradesh
Yemunamai,Rural Municipality,Rautahat,Madhesh Pradesh
